"","terms","short","long"
"organic cyclic compound metabolic proces...","organic cyclic compound metabolic proces...",2.24108810760203,0
"protein transmembrane transport","protein transmembrane transport",2.23210238398191,0
"negative regulation of proteolysis invol...","negative regulation of proteolysis invol...",2.23210238398191,0
"liposaccharide metabolic process","liposaccharide metabolic process",2.22841251911874,0
"mRNA metabolic process","mRNA metabolic process",2.22184874961636,0
"cytoplasmic translation","cytoplasmic translation",2.20411998265592,0
"chromosome separation","chromosome separation",2.2020403562628,0
"glycosyl compound metabolic process","glycosyl compound metabolic process",2.19382002601611,0
"cellular aromatic compound metabolic pro...","cellular aromatic compound metabolic pro...",2.18842499412941,0
"negative regulation of intracellular pro...","negative regulation of intracellular pro...",2.17979854051436,0
"ribonucleoprotein complex export from nu...","ribonucleoprotein complex export from nu...",2.17198493577602,0
"regulation of microtubule cytoskeleton o...","regulation of microtubule cytoskeleton o...",2.17069622716898,0
"negative regulation of intracellular tra...","negative regulation of intracellular tra...",2.16749108729376,0
"ribonucleoprotein complex biogenesis","ribonucleoprotein complex biogenesis",2.16685288808721,0
"single-organism metabolic process","single-organism metabolic process",2.16430942850757,0
"cell cycle G2/M phase transition","cell cycle G2/M phase transition",2.10957898119909,0
"protein targeting to mitochondrion","protein targeting to mitochondrion",2.10790539730952,0
"negative regulation of cellular protein ...","negative regulation of cellular protein ...",2.08618614761628,3.35654732351381
"protein homooligomerization","protein homooligomerization",2.08460016478773,0
"cellular protein complex assembly","cellular protein complex assembly",2.08407278830288,0
"negative regulation of protein localizat...","negative regulation of protein localizat...",2.05898575629443,0
"nuclear division","nuclear division",2.05502409158795,0
"mRNA processing","mRNA processing",2.00043451177402,0
"sphingolipid biosynthetic process","sphingolipid biosynthetic process",1.97963871735229,0
"RNA splicing","RNA splicing",1.96058588082386,0
"regulation of metabolic process","regulation of metabolic process",1.94195376960472,0
"microtubule-based process","microtubule-based process",1.92996213339224,0
"regulation of DNA repair","regulation of DNA repair",1.92885470954892,0
"regulation of microtubule polymerization...","regulation of microtubule polymerization...",1.92885470954892,0
"Golgi vesicle transport","Golgi vesicle transport",1.92885470954892,0
"negative regulation of protein transport","negative regulation of protein transport",1.91506642506328,0
"negative regulation of biological proces...","negative regulation of biological proces...",1.89380910273658,0
"hydrogen ion transmembrane transport","hydrogen ion transmembrane transport",1.89008413697621,0
"mitochondrion organization","mitochondrion organization",1.8897470826466,0
"regulation of transcription factor impor...","regulation of transcription factor impor...",1.88041422503822,0
"heterocycle metabolic process","heterocycle metabolic process",1.87386859273802,0
"regulation of response to DNA damage sti...","regulation of response to DNA damage sti...",1.87321942298799,0
"RNA metabolic process","RNA metabolic process",1.84955059053912,0
"cell death","cell death",1.84224111395314,0
"death","death",1.84224111395314,0
"negative regulation of cell cycle","negative regulation of cell cycle",1.80051908513764,0
"transcription factor import into nucleus","transcription factor import into nucleus",1.78807891569149,0
"mitotic sister chromatid segregation","mitotic sister chromatid segregation",1.76346273851131,0
"regulation of primary metabolic process","regulation of primary metabolic process",1.76270766243254,0
"positive regulation of DNA metabolic pro...","positive regulation of DNA metabolic pro...",1.7373116556983,0
"organelle fission","organelle fission",1.71987710369769,0
"liver development","liver development",1.7104110474574,0
"regulation of cellular metabolic process","regulation of cellular metabolic process",1.70399333068633,0
"nucleocytoplasmic transport","nucleocytoplasmic transport",1.6996219351293,2.65955588515988
"glycoprotein biosynthetic process","glycoprotein biosynthetic process",1.67860872168831,0
"ribosome biogenesis","ribosome biogenesis",1.67860872168831,0
"regulation of protein modification by sm...","regulation of protein modification by sm...",1.67448433663685,0
"localization","localization",0,6.36653154442041
"neuron projection development","neuron projection development",0,5.95860731484177
"regulation of cell communication","regulation of cell communication",0,5.82390874094432
"negative regulation of phosphorylation","negative regulation of phosphorylation",0,5.76955107862173
"regulation of response to stimulus","regulation of response to stimulus",0,5.67778070526608
"regulation of cellular component organiz...","regulation of cellular component organiz...",0,5.56863623584101
"vesicle-mediated transport","vesicle-mediated transport",0,5.53760200210104
"regulation of signaling","regulation of signaling",0,5.46852108295774
"regulation of signal transduction","regulation of signal transduction",0,5.42021640338319
"negative regulation of protein phosphory...","negative regulation of protein phosphory...",0,5.27572413039921
"generation of neurons","generation of neurons",0,5.15490195998574
"regulation of vesicle-mediated transport","regulation of vesicle-mediated transport",0,5.1249387366083
"anatomical structure morphogenesis","anatomical structure morphogenesis",0,5.06550154875643
"regulation of intracellular signal trans...","regulation of intracellular signal trans...",0,5.04575749056067
"protein phosphorylation","protein phosphorylation",0,5.0268721464003
"intracellular signal transduction","intracellular signal transduction",0,5
"negative regulation of protein modificat...","negative regulation of protein modificat...",0,5
"neurogenesis","neurogenesis",0,4.92081875395237
"neuron development","neuron development",0,4.92081875395237
"cell part morphogenesis","cell part morphogenesis",0,4.88605664769316
"negative regulation of phosphorus metabo...","negative regulation of phosphorus metabo...",0,4.82390874094432
"negative regulation of phosphate metabol...","negative regulation of phosphate metabol...",0,4.82390874094432
"heart morphogenesis","heart morphogenesis",0,4.82390874094432
"nervous system development","nervous system development",0,4.82390874094432
"establishment of localization","establishment of localization",0,4.76955107862173
"transport","transport",0,4.74472749489669
"regulation of neurogenesis","regulation of neurogenesis",0,4.69897000433602
"neuron differentiation","neuron differentiation",0,4.67778070526608
"membrane fusion","membrane fusion",0,4.61978875828839
"regulation of protein phosphorylation","regulation of protein phosphorylation",0,4.56863623584101
"positive regulation of cellular process","positive regulation of cellular process",0,4.52287874528034
"neuron projection morphogenesis","neuron projection morphogenesis",0,4.44369749923271
"regulation of phosphorylation","regulation of phosphorylation",0,4.43179827593301
"regulation of protein modification proce...","regulation of protein modification proce...",0,4.4089353929735
"embryonic heart tube morphogenesis","embryonic heart tube morphogenesis",0,4.34678748622466
"cellular component morphogenesis","cellular component morphogenesis",0,4.30980391997149
"cell morphogenesis","cell morphogenesis",0,4.30980391997149
"regulation of nervous system development","regulation of nervous system development",0,4.29242982390206
"cell projection morphogenesis","cell projection morphogenesis",0,4.26760624017703
"regulation of cell development","regulation of cell development",0,4.19382002601611
"neural tube development","neural tube development",0,4.11918640771921
"embryo development","embryo development",0,4.07572071393812
"cell projection organization","cell projection organization",0,4.06048074738138
"phosphorylation","phosphorylation",0,4.05060999335509
"regulation of protein kinase activity","regulation of protein kinase activity",0,4
"positive regulation of signaling","positive regulation of signaling",0,3.95860731484178
"determination of bilateral symmetry","determination of bilateral symmetry",0,3.95860731484178
"regulation of phosphate metabolic proces...","regulation of phosphate metabolic proces...",0,3.92081875395238
"specification of symmetry","specification of symmetry",0,3.92081875395238
"appendage development","appendage development",0,3.92081875395238
"limb development","limb development",0,3.92081875395238
"regulation of neuron projection developm...","regulation of neuron projection developm...",0,3.88605664769316
"dendrite development","dendrite development",0,3.88605664769316
"regulation of phosphorus metabolic proce...","regulation of phosphorus metabolic proce...",0,3.88605664769316
"positive regulation of cell communicatio...","positive regulation of cell communicatio...",0,3.82390874094432
"embryonic heart tube development","embryonic heart tube development",0,3.82390874094432
"regulation of localization","regulation of localization",0,3.82390874094432
"appendage morphogenesis","appendage morphogenesis",0,3.82390874094432
"limb morphogenesis","limb morphogenesis",0,3.82390874094432
"positive regulation of cellular componen...","positive regulation of cellular componen...",0,3.76955107862173
"regulation of endocytosis","regulation of endocytosis",0,3.74472749489669
"cell morphogenesis involved in neuron di...","cell morphogenesis involved in neuron di...",0,3.72124639904717
"heart looping","heart looping",0,3.65757731917779
"positive regulation of protein metabolic...","positive regulation of protein metabolic...",0,3.65757731917779
"cellular developmental process","cellular developmental process",0,3.65757731917779
"positive regulation of endocytosis","positive regulation of endocytosis",0,3.61978875828839
"cell development","cell development",0,3.60205999132796
"embryonic morphogenesis","embryonic morphogenesis",0,3.53760200210104
"determination of heart left/right asymme...","determination of heart left/right asymme...",0,3.52287874528034
"positive regulation of biological proces...","positive regulation of biological proces...",0,3.50863830616573
"membrane organization","membrane organization",0,3.46852108295774
"developmental cell growth","developmental cell growth",0,3.46852108295774
"regulation of kinase activity","regulation of kinase activity",0,3.45593195564972
"single-organism transport","single-organism transport",0,3.44369749923271
"regulation of neuron differentiation","regulation of neuron differentiation",0,3.42021640338319
"cell morphogenesis involved in different...","cell morphogenesis involved in different...",0,3.42021640338319
"positive regulation of response to stimu...","positive regulation of response to stimu...",0,3.42021640338319
"positive regulation of cellular protein ...","positive regulation of cellular protein ...",0,3.4089353929735
"regulation of protein serine/threonine k...","regulation of protein serine/threonine k...",0,3.38721614328026
"regulation of glucose import","regulation of glucose import",0,3.33724216831843
"developmental growth involved in morphog...","developmental growth involved in morphog...",0,3.32790214206428
"regulation of transferase activity","regulation of transferase activity",0,3.31875876262441
"dendrite morphogenesis","dendrite morphogenesis",0,3.31875876262441
"regulation of cell differentiation","regulation of cell differentiation",0,3.30102999566398
"single-organism developmental process","single-organism developmental process",0,3.30102999566398
"cognition","cognition",0,3.29242982390206
"negative regulation of protein metabolic...","negative regulation of protein metabolic...",0,3.25963731050576
"cell differentiation","cell differentiation",0,3.24412514432751
"positive regulation of signal transducti...","positive regulation of signal transducti...",0,3.21467016498923
"single-organism localization","single-organism localization",0,3.19382002601611
"regulation of axon extension involved in...","regulation of axon extension involved in...",0,3.18708664335714
"cardiovascular system development","cardiovascular system development",0,3.18708664335714
"circulatory system development","circulatory system development",0,3.18708664335714
"heart development","heart development",0,3.18045606445813
"multicellular organismal development","multicellular organismal development",0,3.17392519729917
"regulation of cellular component biogene...","regulation of cellular component biogene...",0,3.15490195998574
"calcineurin-NFAT signaling cascade","calcineurin-NFAT signaling cascade",0,3.14874165128092
"negative regulation of exocytosis","negative regulation of exocytosis",0,3.14874165128092
"negative regulation of MAPK cascade","negative regulation of MAPK cascade",0,3.14874165128092
"developmental process","developmental process",0,3.14874165128092
"negative regulation of signaling","negative regulation of signaling",0,3.1249387366083
"system development","system development",0,3.10237290870956
"chordate embryonic development","chordate embryonic development",0,3.09691001300806
"transmembrane receptor protein tyrosine ...","transmembrane receptor protein tyrosine ...",0,3.09151498112135
"proteoglycan biosynthetic process","proteoglycan biosynthetic process",0,3.08618614761628
"positive regulation of receptor-mediated...","positive regulation of receptor-mediated...",0,3.08618614761628
"signal transduction by protein phosphory...","signal transduction by protein phosphory...",0,3.08092190762393
"negative regulation of insulin receptor ...","negative regulation of insulin receptor ...",0,3.07572071393812
"negative regulation of protein autophosp...","negative regulation of protein autophosp...",0,3.06048074738138
"regulation of cell morphogenesis involve...","regulation of cell morphogenesis involve...",0,3.05060999335509
"MAPK cascade","MAPK cascade",0,3.05060999335509
"regulation of axon guidance","regulation of axon guidance",0,3.03621217265444
"embryo development ending in birth or eg...","embryo development ending in birth or eg...",0,3.01322826573376
"synaptic transmission","synaptic transmission",0,3.01322826573376
"axon guidance","axon guidance",0,3.00436480540245
"neuron projection guidance","neuron projection guidance",0,2.98716277529483
"chondrocyte proliferation","chondrocyte proliferation",0,2.94309514866353
"axon extension involved in axon guidance","axon extension involved in axon guidance",0,2.94309514866353
"neuron projection extension involved in ...","neuron projection extension involved in ...",0,2.94309514866353
"negative regulation of cellular response...","negative regulation of cellular response...",0,2.94309514866353
"positive regulation of cellular amide me...","positive regulation of cellular amide me...",0,2.93930215964639
"embryonic limb morphogenesis","embryonic limb morphogenesis",0,2.93554201077308
"regulation of glucose transport","regulation of glucose transport",0,2.91364016932525
"hexose transport","hexose transport",0,2.9100948885606
"negative regulation of signal transducti...","negative regulation of signal transducti...",0,2.9100948885606
"regulation of protein complex assembly","regulation of protein complex assembly",0,2.88941028970075
"enzyme linked receptor protein signaling...","enzyme linked receptor protein signaling...",0,2.87289520163519
"protein import into nucleus","protein import into nucleus",0,2.86327943284359
"protein targeting to nucleus","protein targeting to nucleus",0,2.86327943284359
"single-organism nuclear import","single-organism nuclear import",0,2.86327943284359
"organ morphogenesis","organ morphogenesis",0,2.85698519974591
"monosaccharide transport","monosaccharide transport",0,2.84163750790475
"response to amino acid","response to amino acid",0,2.80134291304558
"skeletal system development","skeletal system development",0,2.78781239559604
"organelle localization","organelle localization",0,2.7851561519523
"positive regulation of proteasomal ubiqu...","positive regulation of proteasomal ubiqu...",0,2.78251605578609
"central nervous system development","central nervous system development",0,2.73992861201493
"NLS-bearing protein import into nucleus","NLS-bearing protein import into nucleus",0,2.73754891026957
"response to nitrogen compound","response to nitrogen compound",0,2.73518217699046
"regulation of developmental process","regulation of developmental process",0,2.67366413907125
"phosphorus metabolic process","phosphorus metabolic process",0,2.66958622665081
"positive regulation of developmental pro...","positive regulation of developmental pro...",0,2.66756154008439
"glucose import","glucose import",0,2.65757731917779
"phosphate-containing compound metabolic ...","phosphate-containing compound metabolic ...",0,2.64397414280688
"anatomical structure development","anatomical structure development",0,2.64016451766011
"peptidyl-threonine phosphorylation","peptidyl-threonine phosphorylation",0,2.62893213772826
"movement of cell or subcellular componen...","movement of cell or subcellular componen...",0,2.61978875828839
"nuclear transport","nuclear transport",0,2.61618463401957
"axon extension","axon extension",0,2.59859945921846
"anatomical structure formation involved ...","anatomical structure formation involved ...",0,2.59687947882418
"positive regulation of cell proliferatio...","positive regulation of cell proliferatio...",0,2.59345981956604
"epithelial tube morphogenesis","epithelial tube morphogenesis",0,2.59006687666871
"positive regulation of neurogenesis","positive regulation of neurogenesis",0,2.52578373592374
"regulation of MAP kinase activity","regulation of MAP kinase activity",0,2.52143350440616
"peptidyl-threonine modification","peptidyl-threonine modification",0,2.51427857351842
"regulation of locomotion","regulation of locomotion",0,2.51004152057517
"negative regulation of chemotaxis","negative regulation of chemotaxis",0,2.50863830616573
"positive regulation of cell differentiat...","positive regulation of cell differentiat...",0,2.46980030179692
"negative regulation of neuron projection...","negative regulation of neuron projection...",0,2.43889861635094
"regulation of JNK cascade","regulation of JNK cascade",0,2.43889861635094
"positive regulation of proteasomal prote...","positive regulation of proteasomal prote...",0,2.43415218132648
"negative regulation of protein kinase ac...","negative regulation of protein kinase ac...",0,2.43297363384094
"regulation of stress-activated protein k...","regulation of stress-activated protein k...",0,2.43297363384094
"regulation of cellular response to stres...","regulation of cellular response to stres...",0,2.43179827593301
"vesicle organization","vesicle organization",0,2.41793663708829
"morphogenesis of embryonic epithelium","morphogenesis of embryonic epithelium",0,2.38195190328791
"positive regulation of cell development","positive regulation of cell development",0,2.37986394502624
"positive regulation of endothelial cell ...","positive regulation of endothelial cell ...",0,2.37571790416433
"glucose transport","glucose transport",0,2.37263414340727
"positive regulation of protein catabolic...","positive regulation of protein catabolic...",0,2.34969247686806
"exocytosis","exocytosis",0,2.34582345812204
"carbohydrate transport","carbohydrate transport",0,2.34486156518862
"multi-organism cellular process","multi-organism cellular process",0,2.32882715728492
"regulation of insulin receptor signaling...","regulation of insulin receptor signaling...",0,2.32239304727951
"positive regulation of intracellular sig...","positive regulation of intracellular sig...",0,2.31875876262441
"tissue morphogenesis","tissue morphogenesis",0,2.26201267366657
"organelle membrane fusion","organelle membrane fusion",0,2.25884840114822
"tube development","tube development",0,2.25570701687732
"long-term synaptic potentiation","long-term synaptic potentiation",0,2.25336580106242
"T cell receptor signaling pathway","T cell receptor signaling pathway",0,2.19586056766465
"establishment of organelle localization","establishment of organelle localization",0,2.1944991418416
"positive regulation of protein kinase ac...","positive regulation of protein kinase ac...",0,2.19246497193115
"regulation of transport","regulation of transport",0,2.19111413264019
"neuron death","neuron death",0,2.1890957193313
"regulation of axonogenesis","regulation of axonogenesis",0,2.1791420105603
"positive regulation of multicellular org...","positive regulation of multicellular org...",0,2.17392519729917
"cellular response to organonitrogen comp...","cellular response to organonitrogen comp...",0,2.17263072694617
