"","GO.ID","Term","Annotated","Significant","Expected","weight0Fisher"
"63","GO:0031398","positive regulation of protein ubiquitin...",95,66,43.21,"0.00010"
"64","GO:0010976","positive regulation of neuron projection...",264,164,120.08,"0.00011"
"65","GO:0043524","negative regulation of neuron apoptotic ...",148,90,67.32,"0.00012"
"66","GO:0006261","DNA-dependent DNA replication",103,73,46.85,"0.00013"
"67","GO:0032008","positive regulation of TOR signaling",27,22,12.28,"0.00014"
"68","GO:0021766","hippocampus development",85,53,38.66,"0.00016"
"69","GO:1903322","positive regulation of protein modificat...",106,77,48.21,"0.00017"
"70","GO:0071407","cellular response to organic cyclic comp...",513,263,233.33,"0.00017"
"71","GO:0007032","endosome organization",32,25,14.55,"0.00017"
"72","GO:0006390","transcription from mitochondrial promote...",11,11,5,"0.00017"
"73","GO:0018107","peptidyl-threonine phosphorylation",75,47,34.11,"0.00018"
"74","GO:0030335","positive regulation of cell migration",411,216,186.94,"0.00019"
"75","GO:0010506","regulation of autophagy",156,112,70.95,"0.00020"
"76","GO:0090090","negative regulation of canonical Wnt sig...",90,58,40.93,"0.00022"
"77","GO:0042254","ribosome biogenesis",282,187,128.26,"0.00022"
"78","GO:0060627","regulation of vesicle-mediated transport",384,219,174.66,"0.00023"
"79","GO:0007030","Golgi organization",90,61,40.93,"0.00024"
"80","GO:0006997","nucleus organization",84,60,38.21,"0.00024"
"81","GO:1904030","negative regulation of cyclin-dependent ...",56,42,25.47,"0.00025"
"82","GO:0006099","tricarboxylic acid cycle",26,21,11.83,"0.00025"
"83","GO:0032781","positive regulation of ATPase activity",46,33,20.92,"0.00028"
"84","GO:0006626","protein targeting to mitochondrion",118,86,53.67,"0.00028"
"85","GO:0050650","chondroitin sulfate proteoglycan biosynt...",14,13,6.37,"0.00029"
"86","GO:2000300","regulation of synaptic vesicle exocytosi...",14,13,6.37,"0.00029"
"87","GO:0006515","misfolded or incompletely synthesized pr...",14,13,6.37,"0.00029"
"88","GO:0000920","cell separation after cytokinesis",14,13,6.37,"0.00029"
"89","GO:0071108","protein K48-linked deubiquitination",23,19,10.46,"0.00029"
"90","GO:0000387","spliceosomal snRNP assembly",33,23,15.01,"0.00029"
"91","GO:0009636","response to toxic substance",229,136,104.16,"0.00029"
"92","GO:0000245","spliceosomal complex assembly",42,37,19.1,"0.00032"
"93","GO:0010823","negative regulation of mitochondrion org...",37,28,16.83,"0.00032"
"94","GO:0000466","maturation of 5.8S rRNA from tricistroni...",17,15,7.73,"0.00033"
"95","GO:0045727","positive regulation of translation",76,54,34.57,"0.00037"
"96","GO:0007420","brain development",733,394,333.39,"0.00037"
"97","GO:0071902","positive regulation of protein serine/th...",235,142,106.89,"0.00037"
"98","GO:0046839","phospholipid dephosphorylation",43,29,19.56,"0.00038"
"99","GO:0033523","histone H2B ubiquitination",10,10,4.55,"0.00038"
"100","GO:0071218","cellular response to misfolded protein",10,10,4.55,"0.00038"
