"","terms","short","long"
"positive regulation of extracellular mat...","positive regulation of extracellular mat...",0,1.53402263171418
"Golgi to plasma membrane transport","Golgi to plasma membrane transport",0,1.48227640516626
"histone mRNA metabolic process","histone mRNA metabolic process",0,1.48122293107323
"activation of protein kinase B activity","activation of protein kinase B activity",0,1.48122293107323
"positive regulation of cGMP metabolic pr...","positive regulation of cGMP metabolic pr...",0,1.44708854978349
"membrane protein ectodomain proteolysis","membrane protein ectodomain proteolysis",0,1.43332686239388
"positive regulation of oligodendrocyte d...","positive regulation of oligodendrocyte d...",0,1.43191566868461
"negative regulation of dendrite morphoge...","negative regulation of dendrite morphoge...",0,1.43191566868461
"long-term memory","long-term memory",0,1.39859193946532
"post-anal tail morphogenesis","post-anal tail morphogenesis",0,1.38584129049082
"clathrin coat assembly","clathrin coat assembly",0,1.38584129049082
"cell growth involved in cardiac muscle c...","cell growth involved in cardiac muscle c...",0,1.38584129049082
"thymus development","thymus development",0,1.37294153599901
"positive regulation of neuron projection...","positive regulation of neuron projection...",0,1.36261034987079
"modulation of synaptic transmission","modulation of synaptic transmission",0,1.3542830606304
"negative regulation of BMP signaling pat...","negative regulation of BMP signaling pat...",0,1.34785039459835
"pyrimidine nucleobase metabolic process","pyrimidine nucleobase metabolic process",0,1.34265726318537
"response to unfolded protein","response to unfolded protein",0,1.30600938953922
"negative regulation of macroautophagy","negative regulation of macroautophagy",0,1.30207355519349
"branch elongation of an epithelium","branch elongation of an epithelium",0,1.30207355519349
"establishment of epithelial cell polarit...","establishment of epithelial cell polarit...",0,1.30207355519349
