"","uniqueID","geneSymbol","imIDp","newL","axon","cb"
"ENSRNOT00000043004.6","ENSRNOT00000043004.6","Pbx1","ENSRNOT00000043004.2",5195,0.813559322033898,0.115318482435884
"ENSRNOT00000067653.8","ENSRNOT00000067653.8","Dnm3","ENSRNOT00000067653.1",4698,0.47,0.0508581657677593
"ENSRNOT00000074527.8","ENSRNOT00000074527.8","LOC100911356","ENSRNOT00000074527.1",8105,0.258961999508956,0.0460561514882109
"ENSRNOT00000003087.0","ENSRNOT00000003087.0","Slain2","ENSRNOT00000003087.1",2726,0.60088250487266,0.130165942350825
"ENSRNOT00000003128.0","ENSRNOT00000003128.0","Tmem33","ENSRNOT00000003128.1",1400,0.503029485796476,0.176216110961434
"ENSRNOT00000003087.4","ENSRNOT00000003087.4","Slain2","ENSRNOT00000003087.1",2030,0.775010512634275,0.169670512589017
"ENSRNOT00000003087.6","ENSRNOT00000003087.6","Slain2","ENSRNOT00000003087.1",2402,0.575079306291364,0.0864586793957038
"ENSRNOT00000003106.5","ENSRNOT00000003106.5","Hnrnpdl","ENSRNOT00000003106.0",2176,0.476212705822576,0.192887540009993
"ENSRNOT00000003128.6","ENSRNOT00000003128.6","Tmem33","ENSRNOT00000003128.1",5421,0.209396768555229,0.115047292649313
"ENSRNOT00000007824.3","ENSRNOT00000007824.3","Pno1","ENSRNOT00000007824.1",556,0.361682913969689,0.130203988074151
"ENSRNOT00000008030.4","ENSRNOT00000008030.4","Nsg1","ENSRNOT00000008030.1",1322,0.28885940996859,0.088325789249507
"ENSRNOT00000020608.5","ENSRNOT00000020608.5","Rufy3","ENSRNOT00000020608.0",2090,0.409165124452825,0.0937149165285653
"ENSRNOT00000060193.0","ENSRNOT00000060193.0","Mrpl52","ENSRNOT00000060193.1",604,0.464115066087051,0.130728286702789
"ENSRNOT00000066864.0","ENSRNOT00000066864.0","Wdfy2","ENSRNOT00000066864.2",4690,0.5,0.0297676485009387
"ENSRNOT00000014821.3","ENSRNOT00000014821.3","Gch1","ENSRNOT00000014821.0",1387,0.566083396327883,0.174902431126663
"ENSRNOT00000014821.4","ENSRNOT00000014821.4","Gch1","ENSRNOT00000014821.0",1708,0.481501672030652,0.0897168781574033
"ENSRNOT00000058887.5","ENSRNOT00000058887.5","Dock5","ENSRNOT00000058887.2",4425,0.491666666666667,0.0594198543268987
"ENSRNOT00000016233.0","ENSRNOT00000016233.0","Dennd6a","ENSRNOT00000016233.1",2038,0.487739087788132,0.0131528448701499
"ENSRNOT00000050549.0","ENSRNOT00000050549.0","Clcn3","ENSRNOT00000050549.1",1146,0.823076634602764,0.144412768898793
"ENSRNOT00000026039.0","ENSRNOT00000026039.0","Polb","ENSRNOT00000026039.1",2244,0.9665282823041,0.148410093369282
"ENSRNOT00000016098.4","ENSRNOT00000016098.4","LOC100912059","ENSRNOT00000016098.2",2415,0.825262308313156,0.0722209794017528
"ENSRNOT00000016233.3","ENSRNOT00000016233.3","Dennd6a","ENSRNOT00000016233.1",1638,0.490142927550518,0.0208535893271667
"ENSRNOT00000016995.6","ENSRNOT00000016995.6","Vps36","ENSRNOT00000016995.0",2298,0.694508009153318,0.080535967399181
"ENSRNOT00000019454.4","ENSRNOT00000019454.4","Ing1","ENSRNOT00000019454.2",1056,0.813333333333333,0.0853587490766874
"ENSRNOT00000021073.6","ENSRNOT00000021073.6","Tpm4","ENSRNOT00000021073.2",1348,0.341369331055628,0.13820705760424
"ENSRNOT00000030765.3","ENSRNOT00000030765.3","Hand2","ENSRNOT00000030765.2",739,0.27307449118889,0.02490980887438
"ENSRNOT00000036092.3","ENSRNOT00000036092.3","Zdhhc2","ENSRNOT00000036092.1",970,0.482209072974282,0.0893102322284334
"ENSRNOT00000047223.5","ENSRNOT00000047223.5","Klhl2","ENSRNOT00000047223.2",1077,0.46551724137931,0.138716609463052
"ENSRNOT00000047314.3","ENSRNOT00000047314.3","Mtus1","ENSRNOT00000047314.1",844,0.432627526467757,0.13756535889403
"ENSRNOT00000047314.5","ENSRNOT00000047314.5","Mtus1","ENSRNOT00000047314.1",1816,0.387834339948231,0.084317214192081
"ENSRNOT00000024781.0","ENSRNOT00000024781.0","Isca1","ENSRNOT00000024781.1",1404,0.853277758043637,0.0973184828482429
"ENSRNOT00000019040.3","ENSRNOT00000019040.3","Ssr1","ENSRNOT00000019040.1",882,0.827706005370556,0.106508776370601
"ENSRNOT00000019040.6","ENSRNOT00000019040.6","Ssr1","ENSRNOT00000019040.1",1957,0.512890168106678,0.164488307489845
"ENSRNOT00000020634.4","ENSRNOT00000020634.4","Dip2c","ENSRNOT00000020634.2",728,0.365961800818554,0.166668196294774
"ENSRNOT00000039377.0","ENSRNOT00000039377.0","Riok3","ENSRNOT00000039377.1",1369,0.475981694089464,0.0916933856298804
"ENSRNOT00000026989.0","ENSRNOT00000026989.0","Paip2","ENSRNOT00000026989.1",952,0.422698976772335,0.109370265949724
"ENSRNOT00000075580.0","ENSRNOT00000075580.0","Rnf165","ENSRNOT00000075580.1",5750,0.483022071307301,0.0982478129924772
"ENSRNOT00000004942.2","ENSRNOT00000004942.2","Tmed7","ENSRNOT00000004942.1",1198,0.41627834731283,0.1837056608174
"ENSRNOT00000004942.3","ENSRNOT00000004942.3","Tmed7","ENSRNOT00000004942.1",1877,0.317686107159791,0.129115736491314
"ENSRNOT00000018577.5","ENSRNOT00000018577.5","Fgf1","ENSRNOT00000018577.0",2530,0.548114358165143,0.155524509597884
"ENSRNOT00000024752.5","ENSRNOT00000024752.5","St8sia3","ENSRNOT00000024752.1",3809,0.239075771122039,0.0476218180190764
"ENSRNOT00000024752.9","ENSRNOT00000024752.9","St8sia3","ENSRNOT00000024752.1",8617,0.660416666666667,0.129324827879182
"ENSRNOT00000025510.4","ENSRNOT00000025510.4","Txnl1","ENSRNOT00000025510.0",1461,0.642658117453206,0.17810245333579
"ENSRNOT00000025880.3","ENSRNOT00000025880.3","Dpysl3","ENSRNOT00000025880.1",2158,0.480436931105653,0.0449982297356291
"ENSRNOT00000026398.7","ENSRNOT00000026398.7","Etf1","ENSRNOT00000026398.1",2182,0.419440369080657,0.0789831526421969
"ENSRNOT00000026398.8","ENSRNOT00000026398.8","Etf1","ENSRNOT00000026398.1",2504,0.438605173889284,0.0921676722483504
"ENSRNOT00000027345.2","ENSRNOT00000027345.2","Reep5","ENSRNOT00000027345.1",624,0.872240579109609,0.194631624822979
"ENSRNOT00000039377.4","ENSRNOT00000039377.4","Riok3","ENSRNOT00000039377.1",1689,0.609861215144706,0.172194567804984
"ENSRNOT00000024232.0","ENSRNOT00000024232.0","Abcb10","ENSRNOT00000024232.1",1215,0.961156985573272,0.0501765833851275
"ENSRNOT00000024232.3","ENSRNOT00000024232.3","Abcb10","ENSRNOT00000024232.1",1916,0.579646995674276,0.0294389145110896
"ENSRNOT00000044847.0","ENSRNOT00000044847.0","E2f5","ENSRNOT00000044847.1",593,0.244514617995668,0.0559702624503303
"ENSRNOT00000028389.0","ENSRNOT00000028389.0","Snx27","ENSRNOT00000028389.1",4316,0.52629006742348,0.0292899038622135
"ENSRNOT00000017579.0","ENSRNOT00000017579.0","Metap1","ENSRNOT00000017579.1",1390,0.351363636363637,0.129184148771226
"ENSRNOT00000016506.6","ENSRNOT00000016506.6","Sema5a","ENSRNOT00000016506.1",6165,0.456989247311828,0.197566485962842
"ENSRNOT00000018248.3","ENSRNOT00000018248.3","Selt","ENSRNOT00000018248.0",1149,0.397271130531637,0.162203996914272
"ENSRNOT00000021162.3","ENSRNOT00000021162.3","Ptgfrn","ENSRNOT00000021162.1",2974,0.5,0.0565617579019643
"ENSRNOT00000021756.3","ENSRNOT00000021756.3","Mblac2","ENSRNOT00000021756.1",2340,0.276357827476038,0.0709441820470492
"ENSRNOT00000021756.4","ENSRNOT00000021756.4","Mblac2","ENSRNOT00000021756.1",2906,0.0943064809206542,0.0298220847264912
"ENSRNOT00000021756.5","ENSRNOT00000021756.5","Mblac2","ENSRNOT00000021756.1",3361,0.265066394279877,0.102993987041274
"ENSRNOT00000022905.2","ENSRNOT00000022905.2","Lppr5","ENSRNOT00000022905.1",827,0.535196778974847,0.172485251912983
"ENSRNOT00000029942.5","ENSRNOT00000029942.5","Cdc42se1","ENSRNOT00000029942.2",2590,0.46875,0.0820902998178368
"ENSRNOT00000039572.5","ENSRNOT00000039572.5","Nras","ENSRNOT00000039572.0",3610,0.22041306423414,0.0936372705161839
"ENSRNOT00000044847.4","ENSRNOT00000044847.4","E2f5","ENSRNOT00000044847.1",959,0.364351812162184,0.072885716987484
"ENSRNOT00000071442.5","ENSRNOT00000071442.5","Snx27","ENSRNOT00000071442.1",3201,0.501599902829152,0.075859367879678
"ENSRNOT00000000467.0","ENSRNOT00000000467.0","Nus1","ENSRNOT00000000467.1",2671,0.487702815254149,0.0514313391011924
"ENSRNOT00000000467.2","ENSRNOT00000000467.2","Nus1","ENSRNOT00000000467.1",1432,0.913904109589041,0.0904192666670139
"ENSRNOT00000001602.7","ENSRNOT00000001602.7","Agpat3","ENSRNOT00000001602.1",3843,0.570387243735763,0.125316571260037
"ENSRNOT00000045636.6","ENSRNOT00000045636.6","Zfand3","ENSRNOT00000045636.1",1307,0.231583231583231,0.111790095144625
"ENSRNOT00000039065.0","ENSRNOT00000039065.0","Gorasp2","ENSRNOT00000039065.1",755,0.48858088169543,0.19331198604549
"ENSRNOT00000020478.0","ENSRNOT00000020478.0","Pdia3","ENSRNOT00000020478.1",1196,0.507833815881477,0.184832922028024
"ENSRNOT00000023017.0","ENSRNOT00000023017.0","B2m","ENSRNOT00000023017.1",1447,0.689675032949251,0.16412018017769
"ENSRNOT00000016220.0","ENSRNOT00000016220.0","Mapre1","ENSRNOT00000016220.1",1401,0.429960028085806,0.121790740313734
"ENSRNOT00000011230.0","ENSRNOT00000011230.0","Cat","ENSRNOT00000011230.1",823,0.240426947266569,0.139206346836165
"ENSRNOT00000028893.0","ENSRNOT00000028893.0","Trmt6","ENSRNOT00000028893.1",1306,0.635430351004579,0.172949671006405
"ENSRNOT00000006329.3","ENSRNOT00000006329.3","Napb","ENSRNOT00000006329.2",650,0.518405318079019,0.0928260717558861
"ENSRNOT00000006329.5","ENSRNOT00000006329.5","Napb","ENSRNOT00000006329.2",3728,0.35271468920758,0.000588984771549148
"ENSRNOT00000006341.5","ENSRNOT00000006341.5","Kif5c","ENSRNOT00000006341.1",16507,0.4223165529181,0.117125724287986
"ENSRNOT00000006341.6","ENSRNOT00000006341.6","Kif5c","ENSRNOT00000006341.1",16808,0.299741318495593,0.0934227250638393
"ENSRNOT00000007554.5","ENSRNOT00000007554.5","Vapb","ENSRNOT00000007554.1",6198,0.474868717179295,0.0795104163319729
"ENSRNOT00000008279.4","ENSRNOT00000008279.4","Cables2","ENSRNOT00000008279.1",877,0.489695340501792,0.127712473707919
"ENSRNOT00000009000.5","ENSRNOT00000009000.5","Cd44","ENSRNOT00000009000.1",2787,0.34536690038245,0.122602372077834
"ENSRNOT00000011761.2","ENSRNOT00000011761.2","Capn3","ENSRNOT00000011761.0",2413,0.5,0.118501772861169
"ENSRNOT00000019038.2","ENSRNOT00000019038.2","Arfrp1","ENSRNOT00000019038.0",1787,0.188106632557088,0.0249251462676751
"ENSRNOT00000020373.4","ENSRNOT00000020373.4","Tpd52l2","ENSRNOT00000020373.1",1493,0.735009476903298,0.191999287404124
"ENSRNOT00000029386.3","ENSRNOT00000029386.3","Samd10","ENSRNOT00000029386.0",1360,0.351470351730143,0.15277537293077
"ENSRNOT00000045362.6","ENSRNOT00000045362.6","RGD1565536","ENSRNOT00000045362.3",2984,0.436022253129346,0.190889963297348
"ENSRNOT00000051064.4","ENSRNOT00000051064.4","Cdc25b","ENSRNOT00000051064.1",1196,0.648010194277855,0.12703888613868
"ENSRNOT00000009233.0","ENSRNOT00000009233.0","Insig1","ENSRNOT00000009233.1",1591,0.47734411397723,0.0276608158422734
"ENSRNOT00000007940.0","ENSRNOT00000007940.0","Ankib1","ENSRNOT00000007940.1",2759,0.19909672563041,0.0210717745417826
"ENSRNOT00000065419.0","ENSRNOT00000065419.0","Foxj2","ENSRNOT00000065419.1",2444,0.666666666666667,0.176084030068565
"ENSRNOT00000007940.4","ENSRNOT00000007940.4","Ankib1","ENSRNOT00000007940.1",2287,0.187721788502484,0.00425926464315345
"ENSRNOT00000008948.5","ENSRNOT00000008948.5","Lancl2","ENSRNOT00000008948.1",1683,0.593051118210863,0.142303884542487
"ENSRNOT00000009233.2","ENSRNOT00000009233.2","Insig1","ENSRNOT00000009233.1",521,0.412645701022777,0.192091818208621
"ENSRNOT00000009233.3","ENSRNOT00000009233.3","Insig1","ENSRNOT00000009233.1",1001,0.51543551361319,0.0685454278135799
"ENSRNOT00000064772.3","ENSRNOT00000064772.3","Reep1","ENSRNOT00000064772.1",3097,0.151266118282185,0.0133742140438964
"ENSRNOT00000010073.0","ENSRNOT00000010073.0","Ndufaf4","ENSRNOT00000010073.1",1491,0.470149253731343,0.0579432390711083
"ENSRNOT00000065926.0","ENSRNOT00000065926.0","Lyrm2","ENSRNOT00000065926.1",1265,0.907821249967889,0.148564921405616
"ENSRNOT00000021110.0","ENSRNOT00000021110.0","Ugcg","ENSRNOT00000021110.1",2547,0.261237205162439,0.0252505491461583
"ENSRNOT00000011508.0","ENSRNOT00000011508.0","Atp6v1g1","ENSRNOT00000011508.1",570,0.276239521425303,0.114022895154587
"ENSRNOT00000041937.0","ENSRNOT00000041937.0","Kif1b","ENSRNOT00000041937.1",499,0.549599198396794,0.0898217389410244
"ENSRNOT00000000139.5","ENSRNOT00000000139.5","Kpna6","ENSRNOT00000000139.0",3953,0.372513632196111,0.0952371511382077
"ENSRNOT00000010073.4","ENSRNOT00000010073.4","Ndufaf4","ENSRNOT00000010073.1",2914,0.484615384615385,0.0763053389301744
"ENSRNOT00000011408.5","ENSRNOT00000011408.5","Ssbp3","ENSRNOT00000011408.0",1636,0.439059900283476,0.12226799081005
"ENSRNOT00000012598.3","ENSRNOT00000012598.3","Rnf11l1","ENSRNOT00000012598.2",1225,0.168609783135524,0.0150563563522473
"ENSRNOT00000012598.4","ENSRNOT00000012598.4","Rnf11l1","ENSRNOT00000012598.2",1684,0.317426100373559,0.0316150036536632
"ENSRNOT00000014904.2","ENSRNOT00000014904.2","Rpl22","ENSRNOT00000014904.1",1382,0.938118918637379,0.172502847542236
"ENSRNOT00000042768.3","ENSRNOT00000042768.3","Kif1b","ENSRNOT00000042768.1",491,0.544846346685767,0.0896248126732782
"ENSRNOT00000045460.2","ENSRNOT00000045460.2","Kcnb2","ENSRNOT00000045460.1",2595,0.5,0.212489107042267
"ENSRNOT00000045460.6","ENSRNOT00000045460.6","Kcnb2","ENSRNOT00000045460.1",12977,0.440860215053763,0.00638212345113894
"ENSRNOT00000050137.7","ENSRNOT00000050137.7","Mmp16","ENSRNOT00000050137.0",9158,0.746826676122477,0.126261536003682
"ENSRNOT00000006604.0","ENSRNOT00000006604.0","Foxn3","ENSRNOT00000006604.1",2074,0.756410256410256,0.175100083634312
"ENSRNOT00000013695.0","ENSRNOT00000013695.0","Eif5","ENSRNOT00000013695.1",1982,0.576531448707929,0.186874304249123
"ENSRNOT00000006604.3","ENSRNOT00000006604.3","Foxn3","ENSRNOT00000006604.1",6181,0.474242424242424,0.119303180895456
"ENSRNOT00000006705.2","ENSRNOT00000006705.2","Map4k5","ENSRNOT00000006705.1",659,0.55624767571588,0.169154744886454
"ENSRNOT00000006705.4","ENSRNOT00000006705.4","Map4k5","ENSRNOT00000006705.1",1353,0.489386504299625,0.0447437791796579
"ENSRNOT00000038448.3","ENSRNOT00000038448.3","Srsf7","ENSRNOT00000038448.0",1442,0.747872340425532,0.189842983576937
"ENSRNOT00000040360.3","ENSRNOT00000040360.3","LOC314140","ENSRNOT00000040360.1",1056,0.476905311778291,0.173806337883455
"ENSRNOT00000058349.0","ENSRNOT00000058349.0","Gxylt1","ENSRNOT00000058349.1",5361,0.469692365227495,0.180195514715102
"ENSRNOT00000055271.0","ENSRNOT00000055271.0","Ppp1r1a","ENSRNOT00000055271.1",899,0.553621438242783,0.139907246677203
"ENSRNOT00000005491.2","ENSRNOT00000005491.2","Atp2b1","ENSRNOT00000005491.0",566,0.529577380141851,0.164824819035261
"ENSRNOT00000005491.4","ENSRNOT00000005491.4","Atp2b1","ENSRNOT00000005491.0",896,0.572207920137267,0.171773068913608
"ENSRNOT00000008193.3","ENSRNOT00000008193.3","Cpsf6","ENSRNOT00000008193.1",2023,0.504129741072822,0.164303157557553
"ENSRNOT00000008193.6","ENSRNOT00000008193.6","Cpsf6","ENSRNOT00000008193.1",4853,0.413614599365051,0.0927000512243397
"ENSRNOT00000009152.2","ENSRNOT00000009152.2","Nhp2l1","ENSRNOT00000009152.0",776,0.386869208667307,0.105383560455435
"ENSRNOT00000041325.5","ENSRNOT00000041325.5","Atcay","ENSRNOT00000041325.1",2509,0.453562055943161,0.197688199922946
"ENSRNOT00000041354.3","ENSRNOT00000041354.3","Atp2b1","ENSRNOT00000041354.1",941,0.573454980633625,0.167978677521133
"ENSRNOT00000066143.2","ENSRNOT00000066143.2","Nfyb","ENSRNOT00000066143.1",499,0.260660980810234,0.11971618222297
"ENSRNOT00000015670.0","ENSRNOT00000015670.0","Rpusd4","ENSRNOT00000015670.1",659,0.249172275786793,0.130153606147832
"ENSRNOT00000064114.0","ENSRNOT00000064114.0","Higd1a","ENSRNOT00000064114.1",1049,0.615942028985507,0.147455604113838
"ENSRNOT00000008971.6","ENSRNOT00000008971.6","Itga11","ENSRNOT00000008971.1",10202,1,0.0805650686241069
"ENSRNOT00000008971.7","ENSRNOT00000008971.7","Itga11","ENSRNOT00000008971.1",12232,0.850279025452566,0.0195868835257083
"ENSRNOT00000019539.5","ENSRNOT00000019539.5","Ube2q2","ENSRNOT00000019539.2",1530,0.618207679914807,0.0671229679700544
"ENSRNOT00000030221.8","ENSRNOT00000030221.8","AABR06055804.1","ENSRNOT00000030221.0",3432,0.320356648819358,0.073953574399856
"ENSRNOT00000036556.2","ENSRNOT00000036556.2","Tusc2","ENSRNOT00000036556.1",1326,0.689727382382313,0.085731079061208
"ENSRNOT00000041548.3","ENSRNOT00000041548.3","Rbms3","ENSRNOT00000041548.2",1069,0.431797269271687,0.140749919788199
"ENSRNOT00000052392.4","ENSRNOT00000052392.4","Cadm1","ENSRNOT00000052392.2",1811,0.856507860860843,0.193800059328472
"ENSRNOT00000052392.5","ENSRNOT00000052392.5","Cadm1","ENSRNOT00000052392.2",2557,0.728916568229238,0.0764691852507814
"ENSRNOT00000059974.5","ENSRNOT00000059974.5","Sorl1","ENSRNOT00000059974.1",3677,0.578563772775991,0.0993545757768646
"ENSRNOT00000059974.6","ENSRNOT00000059974.6","Sorl1","ENSRNOT00000059974.1",3997,0.652168660142564,0.127043873162213
"ENSRNOT00000021803.4","ENSRNOT00000021803.4","Rpl7l1","ENSRNOT00000021803.3",2394,0.688190122465368,0.105814553375858
"ENSRNOT00000021803.5","ENSRNOT00000021803.5","Rpl7l1","ENSRNOT00000021803.3",2882,0.9462360461788,0.0531771258195748
"ENSRNOT00000021803.6","ENSRNOT00000021803.6","Rpl7l1","ENSRNOT00000021803.3",3386,0.69414724912251,0.029018057665641
"ENSRNOT00000023678.8","ENSRNOT00000023678.8","Nbeal1","ENSRNOT00000023678.2",7798,0.5,0.082565017968353
"ENSRNOT00000043627.3","ENSRNOT00000043627.3","Map2","ENSRNOT00000043627.2",2582,0.508583690987124,0.140636389348834
"ENSRNOT00000043627.4","ENSRNOT00000043627.4","Map2","ENSRNOT00000043627.2",3140,0.432829558651149,0.122995365688807
"ENSRNOT00000039000.0","ENSRNOT00000039000.0","Gpkow","ENSRNOT00000039000.1",2479,0.308656149662176,0.123591856069197
"ENSRNOT00000004920.0","ENSRNOT00000004920.0","Prkx","ENSRNOT00000004920.2",2720,0.325396825396825,0.018341400796591
"ENSRNOT00000004920.4","ENSRNOT00000004920.4","Prkx","ENSRNOT00000004920.2",2188,0.50531914893617,0.0493462060983025
"ENSRNOT00000006459.6","ENSRNOT00000006459.6","Pak3","ENSRNOT00000006459.0",6119,0.361394812588573,0.195947868930783
"ENSRNOT00000006459.7","ENSRNOT00000006459.7","Pak3","ENSRNOT00000006459.0",6478,0.273104640650182,0.118126559173681
"ENSRNOT00000019854.2","ENSRNOT00000019854.2","Ddn","ENSRNOT00000019854.1",5416,0.642428829820699,0.170415581985564
"ENSRNOT00000044558.2","ENSRNOT00000044558.2","Arf3","ENSRNOT00000044558.1",1683,0.505932935300965,0.144249948675446
"ENSRNOT00000045285.4","ENSRNOT00000045285.4","Map7d2","ENSRNOT00000045285.1",1689,0.533107395984853,0.173391150471858
